CLASS,DATE,TIME,FRAME,MINOR DIAMETER,MAJOR DIAMETER,ASPECT RATIO,BOUNDING RECT WIDTH,BOUNDING RECT HEIGHT,BOUNDING RECT DIAGONAL,PERIMETER,CONVEX HULL PERIMETER,HOLES' PERIMETER,MAX FERET DIAMETER,EQUIVALENT ELLIPSE MAJOR AXIS,EQUIVALENT ELLIPSE MINOR AXIS,EQUIVALENT ELLIPSE MINOR AXIS (FERET),EQUIVALENT RECT LONG SIDE,EQUIVALENT RECT SHORT SIDE,EQUIVALENT RECT DIAGONAL,EQUIVALENT RECT SHORT SIDE (FERET),AVERAGE HORIZ. SEGMENT LENGTH,AVERAGE VERT. SEGMENT LENGTH,HYDRAULIC RADIUS,WADDEL DISK DIAMETER,AREA,HOLES' AREA,PARTICLE & HOLES' AREA,CONVEX HULL AREA,IMAGE AREA,NUMBER OF HOLES,NUMBER OF HORIZ. SEGMENTS,NUMBER OF VERT. SEGMENTS,ORIENTATION,MAX FERET DIAMETER ORIENTATION,% AREA/IMAGE AREA,% AREA/(PARTICLE & HOLES' AREA),RATIO OF EQUIVALENT ELLIPSE AXES,RATIO OF EQUIVALENT RECT SIDES,ELONGATION FACTOR,COMPACTNESS FACTOR,HEYWOOD CIRCULARITY FACTOR,TYPE FACTOR,CIRCULARITY,SPHERICITY,CONVEXITY,,
All Particles,10/13/20,10:02:21,1333,714.24,869.94,1.22,790.00,780.00,1110.18,2500.40,2476.13,0.00,830.96,869.94,714.24,763.98,625.10,625.10,884.03,600.03,6177.22,6256.41,195.17,788.25,488000.00,0.00,488000.00,498600.00,230400000.00,0.00,79.00,78.00,123.95,129.63,0.21,100.00,1.22,1.00,1.38,0.79,1.01,1.00,0.99,0.98,0.98,0.00,0.00
All Particles,10/13/20,10:02:21,1335,778.17,882.57,1.13,852.64,796.47,1166.77,2613.83,2602.22,0.00,884.08,882.57,778.17,792.75,653.46,653.46,924.13,622.62,6578.05,6498.80,206.36,828.73,539400.00,0.00,539400.00,550450.00,230400000.00,0.00,82.00,83.00,152.34,142.35,0.23,100.00,1.13,1.00,1.42,0.81,1.00,1.00,1.00,0.99,0.98,0.00,0.00
All Particles,10/13/20,10:02:21,1336,713.40,851.14,1.19,804.06,765.27,1110.03,2467.09,2450.41,0.00,830.96,851.14,713.40,747.74,616.77,616.77,872.25,587.27,6193.51,6114.10,193.30,779.24,476900.00,0.00,476900.00,488000.00,230400000.00,0.00,77.00,78.00,139.37,129.63,0.21,100.00,1.19,1.00,1.41,0.79,1.01,1.00,0.99,0.98,0.98,0.00,0.00
All Particles,10/13/20,10:02:21,1337,745.65,911.50,1.22,884.28,773.21,1174.65,2616.04,2600.07,0.00,891.85,911.50,745.65,779.06,654.01,654.01,924.91,611.87,6672.50,6280.00,204.05,824.41,533800.00,0.00,533800.00,545700.00,230400000.00,0.00,80.00,85.00,25.49,30.30,0.23,100.00,1.22,1.00,1.46,0.79,1.01,0.99,0.99,0.98,0.98,0.00,0.00
All Particles,10/13/20,10:02:21,1337,742.16,881.12,1.19,824.71,789.13,1141.44,2559.17,2544.31,0.00,870.46,881.12,742.16,767.64,639.79,639.79,904.80,602.90,6263.41,6340.74,200.69,808.66,513600.00,0.00,513600.00,524800.00,230400000.00,0.00,82.00,81.00,129.67,137.33,0.22,100.00,1.19,1.00,1.44,0.78,1.01,0.99,0.99,0.99,0.98,0.00,0.00
All Particles,10/13/20,10:02:21,1338,742.93,877.30,1.18,848.53,791.96,1160.69,2553.79,2533.76,0.00,870.92,877.30,742.93,764.89,638.45,638.45,902.90,600.74,6094.05,6479.75,200.45,807.32,511900.00,0.00,511900.00,523200.00,230400000.00,0.00,84.00,79.00,66.60,74.69,0.22,100.00,1.18,1.00,1.45,0.77,1.01,1.00,0.99,0.99,0.98,0.00,0.00
All Particles,10/13/20,10:02:21,1338,745.51,871.02,1.17,862.04,774.13,1158.61,2546.88,2532.48,0.00,875.96,871.02,745.51,755.84,636.72,636.72,900.46,593.64,6071.43,6455.70,200.25,805.82,510000.00,0.00,510000.00,520000.00,230400000.00,0.00,84.00,79.00,61.20,71.36,0.22,100.00,1.17,1.00,1.48,0.77,1.01,0.99,0.99,0.99,0.98,0.00,0.00
All Particles,10/13/20,10:02:21,1338,747.57,898.09,1.20,850.00,790.00,1160.43,2595.78,2579.90,0.00,861.63,898.09,747.57,796.05,648.94,648.94,917.75,625.21,6674.68,6203.53,203.14,819.38,527300.00,0.00,527300.00,538700.00,230400000.00,0.00,79.00,85.00,7.19,21.80,0.23,100.00,1.20,1.00,1.38,0.79,1.01,1.00,0.99,0.98,0.98,0.00,0.00
All Particles,10/13/20,10:02:21,1339,751.85,877.22,1.17,848.53,806.10,1170.38,2566.50,2558.98,0.00,854.28,877.22,751.85,789.70,641.63,641.63,907.40,620.23,6395.06,6166.67,201.83,812.12,518000.00,0.00,518000.00,529850.00,230400000.00,0.00,81.00,84.00,36.21,51.65,0.22,100.00,1.17,1.00,1.38,0.77,1.01,1.00,0.99,0.99,0.98,0.00,0.00
All Particles,10/13/20,10:02:21,1339,736.17,910.61,1.24,864.01,789.17,1170.17,2601.22,2578.86,0.00,869.77,910.61,736.17,789.91,650.31,650.31,919.67,620.39,6122.09,6581.25,202.40,818.76,526500.00,0.00,526500.00,539600.00,230400000.00,0.00,86.00,80.00,90.74,98.60,0.23,100.00,1.24,1.00,1.40,0.77,1.01,1.00,0.99,0.98,0.98,0.00,0.00
